html_path,html_title,md_match_count,best_score,match_type,best_md_path,best_md_title,all_matches
genesis-to-quantum\index-gtq.html,Genesis to Quantum — A Unified Framework | Theophysics,10,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\FRAMEWORK.md,FRAMEWORK,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\FRAMEWORK.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Framework.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Framework.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\FRAMEWORK.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Framework.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\quantum.md
genesis-to-quantum\index.html,Genesis to Quantum — The Core Series,7,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md,Quantum,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\quantum.md
genesis-to-quantum\intro\gtq-01-measurement-collapsed-reality-N.html,Article 01: The Measurement That Collapsed Reality — Genesis to Quantum,8,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Mea.md,Mea,80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Mea.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\measurement.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Mea.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\measurement.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Mea.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\measurement.md
genesis-to-quantum\intro\index.html,Genesis to Quantum — The Core Series,7,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md,Quantum,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\quantum.md
genesis-to-quantum\intro\information-theoretic-form.html,Genesis to Quantum — Information-Theoretic Form,10,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md,Quantum,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\information.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\information.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\information.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\quantum.md
genesis-to-quantum\intro\paper-template.html,LOWE FACTS+UADP v2.0 — Paper Template | Theophysics,4,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\_TERMINUS_SUI\_TEMPLATE.md,_TEMPLATE,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\_TERMINUS_SUI\_TEMPLATE.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Paper-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Paper-.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Paper-.md
genesis-to-quantum\intro\theophysics-blackboard.html,Theophysics Blackboard — Visual Sketch Generator,10,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Physics.md,Physics,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Physics.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\theophysics.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\theophysics.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Physics.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\theophysics.md
genesis-to-quantum\iso\iso-001-gravity-sin.html,ISO-001: Gravity ↔ Sin | Theophysics Registry,11,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Gravity.md,Gravity,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Gravity.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Sin.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Gravity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Sin-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Gravity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Sin-.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Gravity.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Sin.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\01.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Gravity.md
genesis-to-quantum\iso\iso-002-superposition-eden.html,ISO-002: Quantum Superposition ↔ Edenic Moral State | Theophysics Registry,10,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum Superposition.md,Quantum Superposition,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum Superposition.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Superposition.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum Superposition.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Superposition.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\02.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\quantum.md
genesis-to-quantum\iso\iso-003-collapse-fall.html,ISO-003: Wavefunction Collapse ↔ The Fall | Theophysics Registry,8,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Function.md,Function,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Function.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\WaveFunction.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\WaveFunction.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Function.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\03.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\WaveFunction.md
genesis-to-quantum\iso\iso-004-born-rule-trinity.html,ISO-004: Born Rule Triad ↔ The Trinity | Theophysics Registry,13,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Trinity.md,Trinity,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\04_ANALYTICS\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Canonical_Global_Analytics\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Global_Analytics\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Obsidian Data Analytics\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Trinity.md
genesis-to-quantum\iso\iso-005-decoherence-lifespan.html,ISO-005: Decoherence ↔ Lifespan | Theophysics Registry,15,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Coherence.md,Coherence,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Coherence.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Decoherence.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\_CONCEPTS\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Coherence-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\04_ANALYTICS\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Canonical_Global_Analytics\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Global_Analytics\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Obsidian Data Analytics\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Coherence-.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Coherence.md
genesis-to-quantum\iso\iso-006-coherence-salvation.html,ISO-006: Coherence Equation ↔ Salvation/Sanctification | Theophysics Registry,13,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Coherence.md,Coherence,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Coherence.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\_CONCEPTS\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Coherence-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\04_ANALYTICS\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Canonical_Global_Analytics\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Global_Analytics\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Obsidian Data Analytics\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Coherence-.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Coherence.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\06.md
genesis-to-quantum\iso\iso-007-substrate-fracture.html,ISO-007: GR/QM Incompatibility ↔ The Substrate Fracture | Theophysics Registry,4,80,contains-title,\\192.168.2.50\z obsidian\07_PRODUCTION_CANONICAL\concepts\Substrate-Fracture.md,Substrate-Fracture,80:\\192.168.2.50\z obsidian\07_PRODUCTION_CANONICAL\concepts\Substrate-Fracture.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\07.md
genesis-to-quantum\iso\iso-008-eraser-atonement.html,ISO-008: Delayed-Choice Quantum Eraser ↔ Retrocausal Atonement | Theophysics Registry,7,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md,Quantum,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\_CONCEPTS\Atonement.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\08.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\quantum.md
genesis-to-quantum\iso\iso-009-entropy-wages-sin.html,"ISO-009: Boltzmann Entropy ↔ ""The Wages of Sin Is Death"" | Theophysics Registry",24,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Boltzmann.md,Boltzmann,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Boltzmann.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Entropy.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Sin.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\TH_Uncategorized\Entropy.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\08_RESEARCH_TOOLKIT\9.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Entropy-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Sin-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\04_ANALYTICS\Entropy.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Canonical_Global_Analytics\Entropy.md
genesis-to-quantum\iso\iso-011-seven-attacks-counters.html,ISO-011: Seven Genesis 3 Attacks ↔ Seven Cross Counter-Moves | Theophysics Registry,2,80,contains-title,\\192.168.2.50\z obsidian\Opus\New Folder\01.md,01,80:\\192.168.2.50\z obsidian\Opus\New Folder\01.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\11.md
genesis-to-quantum\template-deepdive.html,[[GTQ-XX]] [[ARTICLE TITLE]] — Genesis to Quantum,0,,,,,
genesis-to-quantum\template-main.html,[[GTQ-XX]] [[ARTICLE TITLE]] — Genesis to Quantum,0,,,,,
genesis-to-quantum\the-93-year-floor.html,The 93-Year Floor | Theophysics,5,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\08_RESEARCH_TOOLKIT\9.md,9,80:\\192.168.2.50\z obsidian\_Theophysics_v3\08_RESEARCH_TOOLKIT\9.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\08_RESEARCH_TOOLKIT\9.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Production Vault\08_RESEARCH_TOOLKIT\9.md
genesis-to-quantum\video-library.html,Video Library — Genesis to Quantum,0,,,,,
glossary\index-kimi.html,Theophysical Lexicon — Theophysics,5,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Lexicon.md,Lexicon,80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Lexicon.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Lexicon.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Lexicon.md
glossary\index.html,THEOPHYSICS — Glossary of the Fractured Substrate,22,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\GLOSSARY.md,GLOSSARY,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\GLOSSARY.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Physics.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Theophysics Glossary.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\Theophysics_Glossary.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\08_RESEARCH_TOOLKIT\Glossary.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Glossary.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\theophysics.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\06_NOTES\Theophysics_Glossary.md
image-registry.html,Redirecting to Media Library…,0,,,,,
index.html,Faith Through Physics — Where Physics Meets Genesis,10,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Faith.md,Faith,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Faith.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Physics.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Where.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Where.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Faith.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Physics.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Where.md
isomorphism\00_readme.html,00_README,67,100,exact-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\02_EXTERNAL_VERIFICATION\00_README.md,00_README,100:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\02_EXTERNAL_VERIFICATION\00_README.md; 100:\\192.168.2.50\z obsidian\07_PRODUCTION_CANONICAL\00_README.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v3\00_AI\00_README.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v3\00_SYSTEM\00_README.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v3\01_Deuterocanonical_Standard\00_README.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v3\Templates\00_README.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v5\00_AI\00_README.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v5\00_SYSTEM\00_README.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v5\01_Deuterocanonical_Standard\00_README.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v5\Templates\00_README.md
isomorphism\evidence-three-way-isomorphism.html,EVIDENCE — Three-Way Isomorphism (43.6 Bits),3,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Isomorphism.md,Isomorphism,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Isomorphism.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Isomorphism.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Evidence.md
isomorphism\index.html,Isomorphism Explorer — Theophysics,2,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Isomorphism.md,Isomorphism,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Isomorphism.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Isomorphism.md
isomorphism\iso-001-gravity-sin.html,ISO-001: Gravity ↔ Sin | Theophysics Registry,11,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Gravity.md,Gravity,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Gravity.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Sin.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Gravity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Sin-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Gravity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Sin-.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Gravity.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Sin.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\01.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Gravity.md
isomorphism\iso-001_trinity_mathematical_structure.html,ISO-001_Trinity_Mathematical_Structure,17,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Trinity.md,Trinity,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Trinity.md; 80:\\192.168.2.50\z obsidian\999_IGNORE\STRUCTURE.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Structure.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\04_ANALYTICS\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Canonical_Global_Analytics\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Global_Analytics\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Obsidian Data Analytics\Trinity.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Structure.md
isomorphism\iso-002-superposition-eden.html,ISO-002: Quantum Superposition ↔ Edenic Moral State | Theophysics Registry,10,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum Superposition.md,Quantum Superposition,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum Superposition.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Superposition.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum Superposition.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Superposition.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\02.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\quantum.md
isomorphism\iso-002_terminus_sui_grace.html,ISO-002_Terminus_Sui_Grace,13,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Grace .md,Grace ,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Grace .md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Grace.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\_CONCEPTS\Grace.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Grace.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\04_ANALYTICS\Grace.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Canonical_Global_Analytics\Grace.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Global_Analytics\Grace.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Obsidian Data Analytics\Grace.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Grace.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Grace .md
